student_id,age,school_type,parent_education,study_hours,attendance_percentage,internet_access,extra_activities,math_score,science_score,english_score,overall_score,final_grade,gender_female,gender_male,gender_other,travel_time_15-30 min,travel_time_30-60 min,travel_time_<15 min,travel_time_>60 min,study_method_coaching,study_method_group study,study_method_mixed,study_method_notes,study_method_online videos,study_method_textbook
40,17,0,2,6.3,57.4,1,1,78.1,70.0,63.8,65.4,d,False,True,False,False,False,True,False,False,False,False,True,False,False
41,14,1,4,6.0,92.2,1,1,72.8,72.5,100.0,88.7,b,False,False,True,True,False,False,False,False,False,False,False,False,True
42,18,1,0,5.2,54.0,1,1,42.8,58.2,60.1,53.9,e,False,True,False,False,True,False,False,False,False,False,True,False,False
43,18,0,5,1.1,53.3,1,0,31.4,36.4,29.0,23.7,f,True,False,False,True,False,False,False,False,True,False,False,False,False
44,16,1,5,2.3,91.1,1,0,76.4,56.2,56.4,63.6,d,True,False,False,False,True,False,False,False,False,True,False,False,False
45,14,1,0,1.2,59.1,1,0,37.5,35.0,54.0,42.3,e,False,True,False,False,False,True,False,False,True,False,False,False,False
46,19,1,3,7.8,72.4,1,0,77.3,94.5,88.0,83.5,c,True,False,False,False,True,False,False,False,False,True,False,False,False
47,16,0,3,1.5,96.8,1,0,42.4,29.9,53.9,48.7,e,False,False,True,False,False,False,True,True,False,False,False,False,False
48,19,1,1,7.8,60.4,1,1,85.1,100.0,100.0,96.3,a,False,True,False,False,False,False,True,False,False,False,False,True,False
49,18,1,4,1.3,89.0,1,1,31.5,26.9,32.6,37.5,f,False,True,False,True,False,False,False,True,False,False,False,False,False
50,18,1,4,7.0,79.2,0,0,86.6,91.1,100.0,95.9,a,False,True,False,False,True,False,False,True,False,False,False,False,False
51,18,0,5,4.8,70.3,1,1,66.9,66.7,82.8,76.2,c,False,True,False,False,False,False,True,False,False,False,False,False,True
52,15,1,3,6.7,73.0,1,0,87.1,78.6,99.8,90.4,b,False,True,False,True,False,False,False,False,False,False,True,False,False
53,16,0,4,5.3,70.5,1,1,77.9,80.5,79.9,77.0,c,True,False,False,True,False,False,False,False,False,False,True,False,False
54,16,0,4,6.3,91.4,0,1,95.8,93.3,85.2,88.4,b,False,False,True,False,False,False,True,True,False,False,False,False,False
55,16,1,4,6.0,90.7,1,1,91.9,85.6,100.0,92.5,b,False,False,True,False,False,False,True,False,False,False,False,True,False
56,14,0,3,2.5,68.7,1,0,39.3,25.2,39.2,39.5,f,False,False,True,False,False,False,True,False,False,False,False,True,False
57,17,0,4,7.5,84.9,0,1,83.4,81.5,79.5,86.2,b,False,False,True,False,False,False,True,False,False,False,False,False,True
58,14,1,0,5.3,76.6,1,0,67.8,81.5,67.3,76.9,c,True,False,False,True,False,False,False,False,False,False,False,True,False
59,18,0,3,2.0,87.4,1,0,39.8,40.9,59.9,41.1,e,False,False,True,True,False,False,False,False,False,False,False,True,False
60,18,1,1,2.8,52.5,1,1,51.3,48.7,53.4,46.2,e,False,True,False,False,False,False,True,False,False,False,True,False,False
61,19,0,2,4.5,66.8,1,0,69.7,61.7,53.0,65.1,d,False,False,True,True,False,False,False,False,False,True,False,False,False
62,18,1,4,7.1,66.8,1,0,78.9,63.1,83.9,85.8,b,False,True,False,False,False,False,True,False,False,False,False,True,False
63,16,1,0,6.5,79.8,1,1,76.1,61.2,76.7,77.4,c,False,False,True,False,True,False,False,True,False,False,False,False,False
64,19,0,4,2.8,60.4,1,1,62.7,65.5,47.6,54.9,e,False,True,False,False,True,False,False,False,True,False,False,False,False
65,16,1,1,5.7,76.6,1,0,84.1,83.3,88.2,80.9,c,False,True,False,False,True,False,False,False,True,False,False,False,False
66,15,0,4,0.5,99.0,1,0,32.1,28.5,38.0,39.2,f,True,False,False,False,False,False,True,False,False,False,True,False,False
67,19,1,4,3.0,52.2,1,1,33.8,45.9,47.3,46.9,e,False,False,True,False,False,True,False,False,False,False,True,False,False
68,16,0,0,6.8,75.2,0,1,57.3,100.0,71.8,82.4,c,False,True,False,False,False,True,False,False,False,False,False,True,False
69,14,1,1,1.6,56.9,1,1,54.0,34.8,35.3,40.8,e,False,True,False,True,False,False,False,False,True,False,False,False,False
70,16,1,4,3.2,79.1,1,0,80.1,57.2,47.2,57.1,d,True,False,False,True,False,False,False,False,False,False,True,False,False
71,18,0,2,0.5,62.0,0,0,32.0,30.9,51.4,24.6,f,False,False,True,True,False,False,False,False,True,False,False,False,False
72,15,0,2,0.7,95.1,1,1,41.4,43.6,23.8,50.0,e,False,False,True,False,False,True,False,False,True,False,False,False,False
73,16,1,0,1.6,65.9,1,1,33.9,62.8,30.7,37.1,f,True,False,False,False,True,False,False,True,False,False,False,False,False
74,14,1,4,1.3,97.9,1,1,53.1,58.0,59.5,59.5,d,True,False,False,False,False,True,False,False,True,False,False,False,False
75,18,1,0,4.2,50.2,0,1,48.3,63.2,46.5,51.5,e,True,False,False,False,True,False,False,False,True,False,False,False,False
76,16,0,1,7.3,91.6,1,1,99.6,100.0,99.1,96.4,a,False,False,True,False,False,False,True,False,False,False,False,True,False
77,15,1,2,1.1,63.1,0,1,36.6,40.0,23.7,32.0,f,False,True,False,False,False,False,True,False,True,False,False,False,False
78,15,0,4,7.0,60.1,1,1,71.2,87.5,84.0,80.7,c,False,True,False,False,False,True,False,False,True,False,False,False,False
79,17,1,2,5.5,94.2,1,1,94.7,75.8,100.0,91.5,b,False,True,False,False,False,True,False,False,True,False,False,False,False
80,18,1,5,1.8,65.2,0,0,5.9,19.0,12.8,32.7,f,False,True,False,True,False,False,False,False,False,True,False,False,False
81,19,1,3,2.7,79.2,1,1,74.0,75.2,54.3,59.6,d,True,False,False,False,True,False,False,False,False,False,False,False,True
82,16,0,1,2.0,86.8,1,0,44.8,48.9,54.0,58.5,d,False,False,True,True,False,False,False,False,False,True,False,False,False
83,14,0,1,6.4,71.0,1,0,83.6,100.0,98.5,83.0,c,True,False,False,False,False,True,False,False,False,True,False,False,False
84,18,1,4,5.9,55.1,0,0,74.1,55.2,72.0,69.1,d,True,False,False,False,False,True,False,False,True,False,False,False,False
85,17,0,2,2.8,96.1,1,1,63.8,57.9,53.0,61.7,d,False,True,False,False,False,True,False,False,False,False,True,False,False
86,18,0,3,0.9,82.4,1,0,49.0,45.7,45.0,43.9,e,True,False,False,False,False,False,True,False,False,False,False,True,False
87,14,0,2,1.8,94.6,1,1,74.3,57.7,46.7,61.3,d,False,True,False,False,False,False,True,False,False,False,False,True,False
88,15,1,1,5.2,88.4,0,1,67.7,81.7,89.5,73.9,c,False,False,True,False,False,False,True,False,False,False,False,False,True
89,18,0,3,1.2,88.7,0,1,55.6,73.1,57.4,53.4,e,True,False,False,False,True,False,False,False,False,False,True,False,False
90,18,1,1,4.5,79.5,1,0,57.0,56.1,62.6,63.4,d,True,False,False,False,False,True,False,False,True,False,False,False,False
91,16,0,5,5.1,50.3,1,0,71.3,50.2,63.1,59.9,d,False,False,True,False,True,False,False,False,True,False,False,False,False
92,18,1,4,5.7,94.1,1,1,80.5,86.2,79.4,82.0,c,False,True,False,False,True,False,False,False,False,False,False,False,True
93,19,0,4,1.4,91.5,1,1,40.0,46.1,31.2,41.3,e,True,False,False,False,True,False,False,False,True,False,False,False,False
94,16,0,1,3.9,86.4,0,0,57.3,49.7,54.7,59.5,d,True,False,False,False,True,False,False,False,False,False,False,True,False
95,19,1,0,4.0,93.9,1,0,80.2,93.9,87.6,76.8,c,False,True,False,False,False,True,False,False,True,False,False,False,False
96,15,0,0,6.8,59.2,1,0,86.9,79.9,88.2,87.9,b,False,True,False,False,True,False,False,False,False,False,True,False,False
97,15,0,5,4.0,64.1,1,1,65.6,73.9,70.1,66.6,d,False,True,False,False,False,False,True,False,True,False,False,False,False
98,18,1,5,3.6,57.9,1,0,42.3,46.6,57.5,46.2,e,False,True,False,True,False,False,False,False,True,False,False,False,False
99,17,1,4,1.4,82.3,1,0,37.2,50.4,48.3,39.9,f,False,False,True,True,False,False,False,True,False,False,False,False,False
100,14,1,3,5.7,71.9,0,0,67.8,57.0,61.6,66.9,d,False,True,False,False,False,True,False,False,True,False,False,False,False
101,18,0,1,5.1,55.1,1,1,76.8,73.0,74.8,66.8,d,False,True,False,False,True,False,False,False,False,False,False,False,True
102,15,1,4,5.9,78.8,1,1,72.3,48.8,70.5,68.8,d,False,False,True,False,False,True,False,True,False,False,False,False,False
103,18,0,3,5.4,66.9,1,1,68.7,72.3,64.8,73.5,c,True,False,False,False,True,False,False,False,False,True,False,False,False
104,14,1,3,7.1,74.5,1,0,77.9,75.6,89.0,81.9,c,False,False,True,False,True,False,False,False,False,False,False,True,False
105,18,1,0,7.1,63.1,1,1,100.0,90.8,96.0,86.4,b,False,False,True,True,False,False,False,False,False,False,True,False,False
106,18,1,3,2.8,58.1,1,0,24.0,58.0,23.3,39.3,f,False,True,False,True,False,False,False,False,True,False,False,False,False
107,18,1,4,1.9,72.5,1,1,39.3,44.8,42.7,52.9,e,True,False,False,False,False,True,False,False,False,False,False,False,True
108,17,1,4,7.4,61.3,0,1,68.3,78.7,66.9,75.9,c,False,True,False,False,True,False,False,False,False,False,False,False,True
109,16,0,0,5.8,70.3,1,0,71.6,60.4,85.2,65.2,d,True,False,False,False,False,True,False,False,False,True,False,False,False
110,18,1,0,7.8,69.1,0,0,73.4,96.5,74.7,82.4,c,False,False,True,False,True,False,False,False,False,False,False,True,False
111,15,1,5,4.2,97.0,1,1,58.0,71.2,49.0,67.3,d,False,False,True,False,True,False,False,False,False,False,False,True,False
112,18,1,1,7.7,59.3,1,1,98.5,85.1,76.7,88.9,b,False,False,True,False,True,False,False,False,False,False,False,True,False
113,17,0,2,1.4,64.3,1,0,21.1,43.7,43.6,35.7,f,False,True,False,False,False,False,True,False,True,False,False,False,False
114,16,1,3,4.9,89.6,1,1,81.1,63.6,67.7,74.2,c,False,True,False,False,True,False,False,False,True,False,False,False,False
115,17,0,2,4.2,64.8,1,1,73.7,64.0,52.8,61.3,d,True,False,False,True,False,False,False,False,False,True,False,False,False
116,17,1,5,0.5,74.0,1,0,44.4,35.1,20.1,37.1,f,False,True,False,False,False,True,False,False,False,False,False,False,True
117,14,1,5,1.9,88.1,1,0,57.0,61.8,63.6,54.8,e,True,False,False,True,False,False,False,False,False,True,False,False,False
118,14,1,2,1.7,50.2,0,1,39.2,12.8,40.9,32.1,f,False,False,True,False,True,False,False,True,False,False,False,False,False
119,15,1,1,1.0,97.8,1,1,65.9,32.0,41.9,39.6,f,False,True,False,True,False,False,False,False,False,True,False,False,False
120,14,0,5,7.6,73.1,1,0,82.3,79.1,72.6,81.9,c,False,False,True,True,False,False,False,False,False,False,False,True,False
121,16,0,4,7.7,88.0,1,0,92.4,76.4,86.1,92.0,b,False,False,True,False,True,False,False,False,True,False,False,False,False
122,18,0,4,7.2,96.0,1,0,100.0,71.6,83.4,89.4,b,False,False,True,False,False,True,False,False,False,False,True,False,False
123,17,1,2,7.9,93.8,1,1,92.7,100.0,95.8,98.4,a,False,True,False,False,False,False,True,True,False,False,False,False,False
124,16,1,2,6.7,61.0,1,0,85.3,86.2,80.0,87.8,b,False,True,False,False,False,False,True,False,True,False,False,False,False
125,19,1,1,7.5,77.8,0,0,100.0,100.0,76.9,87.1,b,False,True,False,False,False,True,False,False,False,True,False,False,False
126,17,1,2,2.0,70.5,0,0,62.7,52.9,52.8,53.1,e,False,True,False,False,False,False,True,False,True,False,False,False,False
127,14,1,3,2.4,76.6,0,0,40.3,64.6,67.1,52.7,e,False,True,False,False,True,False,False,False,False,False,True,False,False
128,18,0,0,7.0,89.0,1,0,83.8,71.4,71.2,82.6,c,True,False,False,False,False,False,True,False,False,True,False,False,False
129,17,1,3,4.1,67.7,1,0,72.3,71.7,66.9,65.0,d,False,True,False,False,False,False,True,False,False,False,False,True,False
130,17,1,3,5.9,73.9,1,1,80.4,66.8,92.5,81.1,c,False,True,False,True,False,False,False,False,False,False,False,False,True
131,17,0,5,4.7,80.4,1,1,72.7,78.1,75.3,73.8,c,False,False,True,False,False,False,True,False,False,False,False,True,False
132,17,1,0,2.8,63.5,1,0,27.5,63.3,41.9,40.6,e,False,False,True,False,False,False,True,False,False,True,False,False,False
133,14,1,1,2.6,80.3,1,1,49.8,39.9,35.2,43.3,e,False,False,True,False,True,False,False,False,True,False,False,False,False
134,17,1,2,6.1,57.4,1,0,99.2,81.5,86.3,78.3,c,False,True,False,True,False,False,False,False,True,False,False,False,False
135,18,1,5,4.5,81.1,1,0,77.4,70.7,84.0,73.4,c,True,False,False,False,False,True,False,True,False,False,False,False,False
136,15,1,1,3.2,57.2,1,1,59.8,53.9,63.5,50.1,e,True,False,False,True,False,False,False,False,False,True,False,False,False
137,17,0,5,5.1,88.8,0,1,72.8,80.9,87.6,81.6,c,False,True,False,True,False,False,False,False,False,False,False,False,True
138,14,0,5,3.6,59.7,0,0,43.6,78.1,50.4,54.2,e,False,False,True,True,False,False,False,True,False,False,False,False,False
139,16,1,0,4.1,82.3,1,0,59.7,71.3,67.0,67.6,d,True,False,False,False,False,False,True,False,False,False,False,False,True
140,16,0,2,5.6,79.1,1,1,88.7,76.9,76.4,85.7,b,False,False,True,False,True,False,False,False,False,True,False,False,False
141,19,1,1,3.9,71.3,1,0,53.8,46.4,54.2,52.6,e,False,True,False,True,False,False,False,False,False,True,False,False,False
142,15,0,2,7.6,82.3,1,1,73.5,100.0,92.8,89.7,b,True,False,False,False,False,True,False,False,True,False,False,False,False
143,15,1,5,4.1,92.3,1,1,58.5,59.0,66.5,62.0,d,False,True,False,False,True,False,False,False,False,False,False,True,False
144,16,1,2,7.7,56.0,1,0,79.1,91.3,92.0,78.7,c,False,False,True,False,False,True,False,False,False,True,False,False,False
145,19,1,3,6.9,83.8,0,0,99.1,100.0,96.2,95.6,a,True,False,False,False,True,False,False,False,True,False,False,False,False
146,19,0,0,7.2,70.5,1,1,90.9,86.7,82.9,90.2,b,False,True,False,True,False,False,False,False,False,False,False,False,True
147,14,1,3,6.2,83.7,0,1,93.3,78.5,82.8,84.5,c,False,True,False,False,True,False,False,False,False,True,False,False,False
148,15,1,2,5.0,93.8,1,1,58.1,77.1,74.9,71.7,c,True,False,False,True,False,False,False,True,False,False,False,False,False
149,18,0,5,4.5,82.6,1,1,87.0,58.0,76.3,68.7,d,False,True,False,False,False,True,False,False,False,False,False,False,True
150,14,1,4,4.6,58.0,1,0,41.0,73.1,57.3,61.2,d,False,True,False,True,False,False,False,False,True,False,False,False,False
151,19,0,1,2.0,70.8,1,0,47.8,30.8,32.8,36.9,f,False,False,True,False,True,False,False,False,True,False,False,False,False
152,15,1,3,2.1,77.5,1,0,52.8,37.9,45.6,39.3,f,False,False,True,False,True,False,False,False,True,False,False,False,False
153,19,0,2,0.8,56.3,1,0,12.8,26.2,14.7,22.6,f,True,False,False,False,False,False,True,False,False,False,True,False,False
154,15,1,2,6.1,82.2,1,1,100.0,91.6,92.1,87.5,b,False,False,True,False,False,True,False,False,False,True,False,False,False
155,16,1,2,1.4,85.7,1,1,45.4,37.1,55.7,46.8,e,True,False,False,False,True,False,False,False,False,True,False,False,False
156,17,1,4,4.9,88.1,1,0,75.8,57.7,77.6,77.5,c,False,True,False,False,True,False,False,True,False,False,False,False,False
157,14,1,1,1.5,56.0,1,0,35.6,20.4,33.1,26.5,f,False,False,True,False,False,True,False,True,False,False,False,False,False
158,17,1,0,1.0,85.3,0,0,39.8,41.5,27.9,38.4,f,False,True,False,True,False,False,False,False,False,True,False,False,False
159,17,1,1,4.5,68.3,1,0,53.4,67.8,55.6,58.1,d,False,False,True,False,False,True,False,True,False,False,False,False,False
160,18,0,4,7.0,60.6,1,1,82.7,71.7,77.0,86.0,b,True,False,False,False,False,True,False,False,True,False,False,False,False
161,19,1,1,3.2,76.2,0,0,51.0,48.2,54.2,48.9,e,False,True,False,True,False,False,False,False,True,False,False,False,False
162,17,0,0,7.4,78.6,1,0,80.1,69.3,61.2,86.0,b,False,True,False,False,False,True,False,False,False,False,False,True,False
163,16,1,2,0.6,72.8,1,1,43.3,13.9,45.8,37.8,f,False,False,True,False,True,False,False,False,True,False,False,False,False
164,16,1,5,4.0,92.0,1,1,67.0,93.9,65.3,71.9,c,False,False,True,False,False,True,False,False,False,False,False,False,True
165,16,1,5,1.6,57.8,0,1,39.0,38.4,35.6,43.4,e,True,False,False,False,False,True,False,True,False,False,False,False,False
166,18,0,5,2.9,70.4,1,0,54.1,59.9,70.7,58.3,d,False,True,False,False,False,False,True,False,True,False,False,False,False
167,15,0,4,0.7,63.4,1,0,18.0,45.5,36.2,37.8,f,False,False,True,False,True,False,False,False,True,False,False,False,False
168,15,1,4,0.8,52.4,1,0,29.6,50.3,27.8,32.4,f,False,False,True,True,False,False,False,False,False,False,True,False,False
169,16,1,4,5.8,67.0,1,1,70.4,64.0,69.2,66.2,d,True,False,False,False,False,False,True,False,False,False,False,False,True
170,14,0,0,5.4,85.9,1,0,95.2,71.2,80.1,78.4,c,True,False,False,False,False,False,True,False,True,False,False,False,False
171,14,0,2,2.1,76.2,0,0,54.8,33.5,38.2,39.6,f,False,False,True,False,False,True,False,False,False,True,False,False,False
172,14,1,3,7.3,70.9,1,1,86.9,84.2,97.3,86.7,b,True,False,False,True,False,False,False,False,True,False,False,False,False
173,18,1,2,5.7,73.7,1,0,80.7,80.6,58.2,80.8,c,False,True,False,False,True,False,False,True,False,False,False,False,False
174,18,0,4,3.0,65.6,1,1,43.7,50.5,39.8,50.5,e,False,True,False,False,False,True,False,False,False,False,False,True,False
175,18,0,5,3.6,56.1,1,0,55.8,42.0,37.8,48.2,e,True,False,False,False,True,False,False,False,False,True,False,False,False
176,16,1,3,2.7,79.5,1,0,50.8,52.3,79.3,63.4,d,False,False,True,False,False,True,False,False,False,False,True,False,False
177,18,0,0,6.7,90.8,1,0,77.3,100.0,99.8,86.1,b,False,False,True,False,False,False,True,False,True,False,False,False,False
178,14,0,2,4.2,89.5,1,1,48.0,62.7,64.5,63.1,d,True,False,False,True,False,False,False,False,False,False,False,True,False
179,19,0,1,1.5,61.7,1,0,35.8,28.0,36.3,36.9,f,False,True,False,False,True,False,False,False,False,False,False,False,True
180,17,1,2,2.0,71.7,1,1,45.7,24.3,40.3,43.7,e,True,False,False,False,False,False,True,False,False,False,False,False,True
181,19,0,1,2.7,77.6,1,1,38.0,51.5,59.8,49.5,e,False,True,False,False,True,False,False,True,False,False,False,False,False
182,14,0,0,3.5,90.1,1,1,49.9,56.9,47.5,59.5,d,True,False,False,False,True,False,False,False,False,False,False,True,False
183,16,0,1,4.9,59.8,1,0,78.7,64.1,81.9,73.0,c,True,False,False,False,False,False,True,True,False,False,False,False,False
184,18,1,2,7.7,56.6,1,0,79.1,89.3,98.0,81.5,c,False,False,True,False,True,False,False,False,False,False,False,False,True
185,16,1,0,2.5,96.6,1,0,50.3,47.4,61.8,59.7,d,False,False,True,True,False,False,False,False,False,True,False,False,False
186,16,0,0,3.0,57.3,0,1,32.5,39.6,41.6,38.6,f,False,False,True,True,False,False,False,False,False,False,True,False,False
187,14,1,1,0.7,99.5,1,0,51.7,49.6,46.3,44.7,e,False,True,False,False,True,False,False,True,False,False,False,False,False
188,16,1,3,3.3,79.9,1,1,64.3,47.5,54.3,58.4,d,False,False,True,True,False,False,False,False,False,True,False,False,False
189,15,1,3,5.6,74.9,1,0,70.4,72.9,55.4,71.8,c,False,True,False,False,False,True,False,False,False,False,True,False,False
190,15,1,2,7.7,59.4,1,0,65.5,73.4,77.6,76.1,c,True,False,False,False,True,False,False,False,True,False,False,False,False
191,18,0,3,6.1,93.0,1,0,73.9,92.3,80.2,86.6,b,False,False,True,False,True,False,False,False,True,False,False,False,False
192,17,1,1,1.4,58.6,1,0,7.6,32.8,16.7,25.5,f,False,False,True,False,True,False,False,False,False,False,False,True,False
193,17,1,4,7.2,70.1,1,1,71.1,55.2,78.0,80.1,c,True,False,False,True,False,False,False,False,False,False,False,False,True
194,16,1,0,6.8,52.4,1,0,90.4,88.5,91.3,84.1,c,False,True,False,False,False,True,False,False,False,True,False,False,False
195,19,1,0,1.9,51.1,1,1,24.7,36.9,36.8,32.5,f,True,False,False,False,False,True,False,False,False,False,False,True,False
196,14,1,5,7.5,86.5,1,0,82.8,100.0,96.6,93.0,b,False,False,True,False,True,False,False,True,False,False,False,False,False
197,16,1,2,5.9,60.4,1,1,62.6,78.9,78.5,71.9,c,True,False,False,False,False,True,False,False,False,True,False,False,False
198,14,1,3,6.4,80.0,1,1,86.3,92.6,94.7,90.7,b,True,False,False,False,True,False,False,True,False,False,False,False,False
199,16,0,2,3.9,86.2,1,1,71.3,56.8,69.7,60.9,d,True,False,False,False,False,True,False,False,False,True,False,False,False
200,19,0,3,2.0,74.6,1,0,45.7,43.3,65.7,54.9,e,True,False,False,True,False,False,False,True,False,False,False,False,False
201,16,0,4,6.5,82.8,1,1,84.0,93.9,98.9,90.0,b,False,True,False,False,False,False,True,False,False,False,False,True,False
202,19,1,4,4.1,62.1,1,0,38.3,44.0,43.1,50.1,e,False,False,True,True,False,False,False,False,False,True,False,False,False
203,16,0,1,7.8,90.9,1,0,100.0,92.8,100.0,100.0,a,False,True,False,True,False,False,False,False,False,True,False,False,False
204,18,0,3,1.7,60.3,1,1,41.8,40.5,37.8,42.2,e,False,False,True,False,False,False,True,False,False,False,True,False,False
205,16,0,4,3.2,79.5,1,1,45.8,63.5,50.2,59.9,d,False,True,False,False,False,True,False,False,False,True,False,False,False
206,15,1,2,6.0,91.8,1,0,72.1,93.0,76.3,82.7,c,True,False,False,True,False,False,False,False,False,True,False,False,False
207,18,1,2,4.8,89.7,1,0,84.1,82.3,71.1,80.2,c,True,False,False,True,False,False,False,False,False,True,False,False,False
208,19,0,3,3.7,52.6,1,1,68.6,60.5,66.4,57.8,d,True,False,False,True,False,False,False,False,False,True,False,False,False
209,15,1,3,5.8,68.4,1,1,58.9,61.4,67.7,65.2,d,True,False,False,False,False,False,True,True,False,False,False,False,False
210,18,0,1,6.0,92.6,1,1,89.1,77.9,93.2,82.5,c,False,False,True,False,False,False,True,False,False,False,True,False,False
211,15,0,5,4.8,92.5,1,1,79.9,73.5,86.9,76.2,c,False,True,False,False,False,True,False,False,False,False,True,False,False
212,18,1,3,2.9,81.8,1,1,84.3,67.5,64.3,65.5,d,False,False,True,False,False,False,True,False,True,False,False,False,False
213,18,0,3,5.1,55.4,0,0,52.9,50.8,69.7,62.8,d,False,False,True,False,False,True,False,False,False,False,True,False,False
